# No. ;TINGKAT;SOAL;PILIHAN A;PILIHAN B;PILIHAN C;PILIHAN D;JAWABAN
1;SD;"""Good morning"" is used from 12 AM to 12 PM. The proper time to say ""Good afternoon"" is...";05:00;14:00;19:00;23:00;B
2;SD;"A: ""Hello, my name is Rina. What is your name?"" B: ""...""";I am fine, thank you.;I live in Jakarta.;My name is Toni.;Nice to meet you too.;C
3;SD;"A: ""How are you?"" B: ""...""";I am happy.;I am at home.;I am great, thank you.;I am going to school.;C
4;SD;Before going to bed, you should say...;Good morning;Good afternoon;Good day;Good night;D
5;SD;"A: ""May I borrow your pencil, please?"" B: ""...""";No, you may not.;Yes, sure. Here you are.;It is a pencil.;You are welcome.;B
6;SD;"The full form of ""I'm"" is...";He is;They are;I am;We are;C
7;SD;"A: ""Where do you live?"" B: ""I live ... Bunga Street.""";in;on;at;with;C
8;SD;If someone introduces you to a new person, you should say...;See you tomorrow;Good bye;Nice to meet you;Thank you very much;C
9;SD;"A: ""I'm sorry, I broke your toy."" B: ""...""";Thank you;Yes, you are;I am angry;That's alright;D
10;SD;The correct expression for saying goodbye is...;What time is it?;How old are you?;See you later.;I am hungry.;C
11;SD;It is 07.30 AM. In English, we say...;It is seven ten;It is half past seven;It is seven thirty o'clock;It is a quarter past seven;B
12;SD;The word 'fifty-five' in number is...;505;550;55;15;C
13;SD;The second month of the year is...;January;February;March;April;B
14;SD;After Monday is...;Sunday;Saturday;Tuesday;Wednesday;C
15;SD;"""What time is it now?"" The clock shows 10:45 AM.";It is a quarter to eleven;It is a quarter past ten;It is ten forty;It is ten thirty;A
16;SD;I always ... breakfast at 6 AM.;drink;make;have;go;C
17;SD;My mother ... in the kitchen every morning.;cook;cooks;cooking;cooked;B
18;SD;The students ... the national anthem during the flag ceremony yesterday.;sing;sings;singing;sang;D
19;SD;Dina ... her bicycle to the park last Sunday.;ride;rides;riding;rode;D
20;SD;He ... not go to school because he was sick. (Simple Past Negative);do;does;did;is;C
21;SD;We ... TV every night.;watchs;watched;watching;watch;D
22;SD;Andi ... his teeth before sleeping.;brush;brushes;brushed;brushing;B
23;SD;They ... to the zoo two weeks ago.;go;goes;going;went;D
24;SD;The antonym of 'slow' is...;sad;small;fast;lazy;C
25;SD;The students usually ... their homework after school.;is doing;does;do;doing;C
26;SD;Mr. Budi works at the .... He helps people when their houses are on fire.;hospital;school;market;fire station;D
27;SD;You can buy vegetables, fish, and meat at the ....;bank;post office;traditional market;cinema;C
28;SD;My father always gets money from the ... every month.;hospital;library;bank;museum;C
29;SD;A ... wears a uniform and teaches students in the classroom.;doctor;pilot;teacher;farmer;C
30;SD;People go to the ... to send letters and buy stamps.;bus station;airport;post office;library;C
31;SD;A ... works at the hospital and helps sick people get better.;chef;mechanic;nurse;tailor;C
32;SD;The opposite of 'near' is...;right;left;far;big;C
33;SD;The place where you can borrow books is a ....;cinema;stadium;library;parking lot;C
34;SD;We can see many animals like lions, tigers, and monkeys at the ....;park;museum;beach;zoo;D
35;SD;She works at the bakery. She is a ....;student;policeman;baker;fireman;C
36;SD;My bag is very .... It can carry many books.;small;thin;heavy;light;C
37;SD;My brother is very .... He always shares his toys with me.;selfish;greedy;generous;lazy;C
38;SD;The elephant is ... than the cat.;more small;small;bigger;big;C
39;SD;I have a ball. The shape of the ball is...;square;triangle;round;straight;C
40;SD;The color of the Indonesian flag is red and ....;yellow;green;blue;white;D
41;SD;My grandfather is 70 years old. He is ....;young;tall;old;short;C
42;SD;The clouds are ... and the sky is blue.;black;dark;white;purple;C
43;SD;The wall is very .... I need to paint it again.;clean;tidy;dirty;strong;C
44;SD;"A: ""What color is the sun?"" B: ""It is ....""";blue;green;yellow;black;C
45;SD;The classroom is ... and quiet. The students are ready to study.;noisy;dirty;crowded;clean;D
46;SD;I drink a glass of ... every morning to stay healthy.;coffee;soup;milk;soda;C
47;SD;Fried rice in English is...;Nasi goreng;Nasi padang;Nasi uduk;Nasi kuning;A
48;SD;The taste of sugar is ....;salty;sour;sweet;bitter;C
49;SD;When I am thirsty, I need some ....;food;bread;water;rice;C
50;SD;Mother uses salt when cooking to make the food ....;sweet;hot;salty;spicy;C
