# No.;TINGKAT;SOAL;PILIHAN A;PILIHAN B;PILIHAN C;PILIHAN D;JAWABAN
1;SD;Inti sari atau gagasan utama dari sebuah paragraf disebut...;Kalimat penjelas;Ide pokok;Kalimat utama;Kesimpulan;B
2;SD;Teks yang berisi langkah-langkah untuk membuat sesuatu secara urut disebut teks...;Deskripsi;Narasi;Prosedur;Eksplanasi;C
3;SD;Teks yang bertujuan menjelaskan ciri-ciri atau sifat suatu objek adalah teks...;Narasi;Deskripsi;Eksplanasi;Argumentasi;B
4;SD;Teks yang berisi penjelasan mengenai proses terjadinya suatu fenomena alam atau sosial disebut...;Deskripsi;Narasi;Eksplanasi;Persuasi;C
5;SD;Bagian surat resmi yang berisi nama instansi, alamat, dan logo adalah...;Nomor surat;Perihal;Kop surat;Tembusan;C
6;SD;Kalimat yang menggunakan kata sandang 'Sang' dengan tepat adalah...;Sang Harimau sedang berburu di malam hari.;Sang paman sedang minum kopi.;Sang anak itu sedang menangis.;Saya sangat mengagumi Sang guru.;A
7;SD;Penulisan nama tempat yang benar adalah...;Jalan Pahlawan Nomor 10.;Jalan pahlawan Nomor 10.;Jalan Pahlawan nomor 10.;jalan pahlawan Nomor 10.;A
8;SD;Bentuk baku dari kata 'apotik' adalah...;Apotek;Apoteq;Apotek;Apotiq;C
9;SD;Bentuk kata dasar dari kata 'mengembangkan' adalah...;Kembang;Kembangan;Mengembang;Kembangi;A
10;SD;Sinonim dari kata 'dampak' adalah...;Keinginan;Tujuan;Akibat;Perbedaan;C
11;SD;Antonim dari kata 'subur' adalah...;Hijau;Rindang;Basah;Gersang;D
12;SD;Makna ungkapan 'banting tulang' adalah...;Berkelahi;Sedang tidur;Patah tulang;Bekerja keras;D
13;SD;Peribahasa yang berarti 'tidak ada manfaatnya sama sekali' adalah...;Air beriak tanda tak dalam;Bagai air di daun talas;Air tenang menghanyutkan;Bagai pinang dibelah dua;B
14;SD;Kalimat yang merupakan kalimat aktif adalah...;Padi itu ditanam oleh petani.;Meja itu dibersihkan oleh Rina.;Ayah memperbaiki mobil di bengkel.;Bola itu dilempar ke gawang.;C
15;SD;Kalimat yang tidak efektif (boros kata) adalah...;Kami sedang berdiskusi.;Agar supaya lulus, kita harus belajar.;Siswa itu sangat pintar.;Sekolah mengadakan upacara bendera.;B
16;SD;Tanda baca yang digunakan untuk memisahkan unsur-unsur dalam suatu perincian adalah...;Titik (.);Titik dua (:);Koma (,);Tanda tanya (?);C
17;SD;Penulisan gelar 'Sarjana Pendidikan' yang tepat adalah...;S.Pd;Sarjana Pend.;S.Pd.;S.P.D;C
18;SD;Kalimat pasif ditandai dengan awalan...;Me-;Ber-;Ter-;Di-;D
19;SD;Perhatikan kalimat: Para tamu diharap berdiri.  Kalimat tersebut seharusnya menggunakan kata...;Semua tamu;Seluruh tamu;Tamu-tamu;Tamu;D
20;SD;Majas yang membandingkan dua hal secara langsung tanpa menggunakan kata pembanding adalah majas...;Simile;Personifikasi;Hiperbola;Metafora;D
21;SD;Suasana sedih dan mencekam dalam cerita disebut...;Latar;Alur;Klimaks;Resolusi;C
22;SD;Tokoh yang bertentangan atau melawan tokoh utama dalam cerita disebut...;Protagonis;Tritagonis;Antagonis;Figuran;C
23;SD;Sudut pandang dalam cerita yang menggunakan kata ganti 'aku' atau 'saya' disebut sudut pandang...;Orang ketiga;Orang pertama;Pengamat;Campuran;B
24;SD;Kalimat yang mengandung kata keterangan tempat adalah...;Ibu memasak tadi pagi.;Adik bermain boneka di kamar.;Mereka bernyanyi dengan merdu.;Kakak sudah pergi.;B
25;SD;Kalimat tanya yang jawabannya berupa alasan atau sebab adalah kalimat tanya yang menggunakan kata...;Apa;Kapan;Siapa;Mengapa;D
26;SD;Makna denotasi kata 'bunga' dalam kalimat 'Ibu menanam bunga mawar di halaman' adalah...;Wanita cantik;Keindahan;Kuntum tanaman;Hadiah;C
27;SD;Makna konotasi kata 'bunga' dalam kalimat 'Kakak mendapatkan bunga bank setiap bulan' adalah...;Imbalan jasa;Kuntum tanaman;Wanita cantik;Hadiah;A
28;SD;Kata yang menunjukkan hubungan perlawanan atau pertentangan adalah konjungsi...;Dan;Serta;Karena;Sedangkan;D
29;SD;Imbuhan 'pe-' pada kata 'pelari' memiliki makna...;Tempat;Hasil;Pelaku;Proses;C
30;SD;Urutan yang benar dalam menulis teks prosedur adalah...;Alat-Langkah-Bahan-Tujuan;Tujuan-Alat/Bahan-Langkah-langkah;Langkah-langkah-Tujuan-Alat;Bahan-Tujuan-Langkah;B
31;SD;Perhatikan kalimat: Setiap hari, Ayah selalu membaca koran.  Kata keterangan dalam kalimat tersebut adalah...;Ayah;Koran;Membaca;Setiap hari;D
32;SD;Penulisan mata uang Rupiah yang benar adalah...;Rp. 5.000,00;Rp5.000,00;Rp5.000;Rp. 5000.00;B
33;SD;Kalimat 'Hatinya hancur setelah mendengar kabar buruk itu' menggunakan majas...;Personifikasi;Simile;Hiperbola;Metafora;C
34;SD;Kalimat yang menggunakan tanda titik (.) dengan tepat adalah...;Pukul 07. 30 pagi.;Saya lahir pada 27. 05. 2005.;Jarak rumah ke sekolah adalah 1.500 m.;Budi pergi ke Jakarta.;D
35;SD;Unsur cerita yang merupakan pokok pikiran atau gagasan utama cerita disebut...;Tokoh;Latar;Tema;Amanat;C
36;SD;Istilah yang berarti 'daftar riwayat hidup' adalah...;Bibliografi;Kurikulum vitae;Abstrak;Resensi;B
