# No.;TINGKAT;SOAL;PILIHAN A;PILIHAN B;PILIHAN C;PILIHAN D;JAWABAN
1;SD;Hasil dari −12+5×4−(−10) adalah...;20;18;10;-18;B
2;SD;Suhu di kota Tokyo mula-mula adalah −4∘C. Jika suhu naik 10∘C, suhu kota Tokyo sekarang adalah...;−14∘C;−6∘C;6∘C;14∘C;C
3;SD;Hasil dari 240:(−8)+15 adalah...;-15;-25;30;-30;A
4;SD;Jika p=−5 dan q=8, maka nilai dari 2q−p adalah...;11;3;-13;21;D
5;SD;Suatu bilangan yang terletak 7 satuan di sebelah kanan bilangan −12 pada garis bilangan adalah...;-19;-5;5;19;B
6;SD;Hasil dari 3^3+4^3 adalah...;343;125;91;73;C
7;SD;Hasil dari 3√1000 × 2 adalah...;100;200;12;20;D
8;SD;Operasi hitung yang hasilnya paling besar adalah...;−5×(−6);−5+(−6);5−6;6−(−5);D
9;SD;Bentuk pecahan dari 0,75 adalah...;3/5;7/10;75/10;3/4;D
10;SD;Urutan bilangan 0.2, 1/4​, 25%, 0.5 dari yang terkecil adalah...;0.2, 1/4​, 0.5, 25%;0.5, 1/4, 25%, 0.2;0.2, 25%, 1/4, 0.5;0.2, 1/4​, 25%, 0.5;D
11;SD;Hasil dari 1/2+0,25 adalah...;0,5;0,65;0,75;0,8;C
12;SD;Hasil dari 1 4/1−2/1 adalah...;3;2;1;5;A
13;SD;Hasil dari 3/2 x 1 2/1 adalah...;5/3;6/4;2/1;9;D
14;SD;Hasil pembagian 1,5:0,3 adalah...;3;4;5;0,5;C
15;SD;20% dari 150.000 rupiah adalah...;15.000;20.000;30.000;40.000;C
16;SD;Tini memiliki 2,5 meter pita. Ia menggunakan 43​ meter untuk menghias kado. Sisa pita Tini adalah...;2,75 meter;2 meter;1,25 meter;1,75 meter;D
17;SD;Bentuk desimal dari 8/5​ adalah...;1,5;0,6;2,3;1,6;D
18;SD;Hasil dari 0,5×0,02 adalah...;0,1;0,01;0,001;0,0001;B
19;SD;Pecahan yang senilai dengan 4/5​ adalah...;8/20​;12/5;4/10;8/10;D
20;SD;Hasil dari 2 3/1​×7/6​ adalah...;3/4;1 3/1;7/2;2 3/1;C
21;SD;Rasio buku merah terhadap buku biru adalah 2:3. Jika buku merah ada 10 buah, maka jumlah buku biru adalah...;5 buah;12 buah;15 buah;20 buah;C
22;SD;Perbandingan umur Ayah dan Ibu adalah 5:4. Jika jumlah umur mereka 81 tahun, umur Ibu adalah...;36 tahun;45 tahun;40 tahun;42 tahun;A
23;SD;Jarak pada peta adalah 5 cm. Jika skala peta 1:100.000, jarak sebenarnya adalah...;500 m;5 km;50 km;5 m;B
24;SD;Sebuah motor menempuh jarak 100 km dalam 2 jam. Kecepatan rata-rata motor tersebut adalah...;20 km/jam;50 km/jam;100 km/jam;200 km/jam;B
25;SD;Ali memiliki 20 kelereng, dan Budi memiliki 35 kelereng. Rasio kelereng Ali terhadap Budi dalam bentuk paling sederhana adalah...;2:3;4:5;4:7;5:7;C
26;SD;Sebuah mobil mengisi bensin 20 liter dalam 5 menit. Debit pengisian bensin adalah...;5 liter/menit;10 liter/menit;4 liter/menit;2 liter/menit;C
27;SD;Perbandingan kelereng hitam dan putih adalah 7:3. Jika selisih kelereng mereka 12 buah, jumlah total kelereng adalah...;32 buah;30 buah;40 buah;42 buah;B
28;SD;Harga 3 pensil adalah Rp7.500,00. Harga 5 pensil adalah...;Rp10.000,00;Rp12.500,00;Rp15.000,00;Rp18.000,00;B
29;SD;Waktu yang dibutuhkan untuk menempuh jarak 120 km dengan kecepatan 40 km/jam adalah...;2 jam;3 jam;4 jam;5 jam;B
