# No.;TINGKAT;SOAL;PILIHAN A;PILIHAN B;PILIHAN C;PILIHAN D;JAWABAN
1;SD;Lambang negara Republik Indonesia adalah...;Burung Garuda;Pohon Beringin;Bendera Merah Putih;Padi dan Kapas;A
2;SD;Sila pertama Pancasila dilambangkan dengan gambar...;Rantai;Bintang;Kepala Banteng;Padi dan Kapas;B
3;SD;Perilaku yang mencerminkan pengamalan sila pertama Pancasila di sekolah adalah...;Membantu teman saat kesulitan;Musyawarah memilih ketua kelas;Rajin berdoa dan beribadah;Bersikap adil kepada semua teman;C
4;SD;Bunyi sila kedua Pancasila adalah...;Persatuan Indonesia;Ketuhanan Yang Maha Esa;Kerakyatan yang dipimpin oleh hikmat;Kemanusiaan yang Adil dan Beradab;D
5;SD;Sikap yang sesuai dengan sila kedua Pancasila adalah...;Menjenguk teman yang sakit;Rela berkorban untuk negara;Menghargai hasil musyawarah;Tidak membeda-bedakan suku;A
6;SD;Semboyan yang menggambarkan persatuan bangsa Indonesia di tengah keragaman adalah...;Tut Wuri Handayani;Bhinneka Tunggal Ika;Ing Ngarso Sung Tulodo;Bersatu Kita Teguh;B
7;SD;Mengutamakan kepentingan bersama di atas kepentingan pribadi dan golongan merupakan pengamalan sila ke...;Pertama;Kedua;Ketiga;Keempat;C
8;SD;Dasar negara dan pandangan hidup bangsa Indonesia adalah...;Pancasila;Undang-Undang;UUD 1945;Proklamasi;A
9;SD;Salah satu contoh tindakan tidak mencerminkan persatuan di sekolah adalah...;Bekerja bakti membersihkan kelas;Memilih-milih teman berdasarkan suku;Saling menghormati antaragama;Bermain bersama tanpa memandang status;B
10;SD;Kewajiban utama seorang pelajar di sekolah adalah...;Mendapatkan nilai bagus;Mendapatkan uang saku;Bermain dengan teman;Belajar dengan sungguh-sungguh;D
11;SD;Hak warga negara untuk mendapatkan pendidikan diatur dalam UUD 1945 Pasal...;27 ayat (2);31 ayat (1);30 ayat (1);33 ayat (1);B
12;SD;Bentuk pengamalan sila keempat Pancasila dalam pemilihan ketua kelas adalah...;Musyawarah mufakat;Suara terbanyak tanpa diskusi;Penunjukan langsung oleh guru;Mengikuti keinginan teman terdekat;A
13;SD;Keputusan bersama yang diambil berdasarkan musyawarah mufakat bersifat...;Tidak mengikat;Hanya untuk yang setuju;Mengikat dan wajib dilaksanakan;Boleh dilanggar jika tidak suka;C
14;SD;Contoh melaksanakan kewajiban setelah mendapatkan hak untuk bermain adalah...;Belanja di warung;Menonton televisi;Tidur siang;Merapikan mainan kembali;D
15;SD;Sila kelima Pancasila dilambangkan dengan...;Padi dan Kapas;Kepala Banteng;Pohon Beringin;Rantai;A
16;SD;Gotong royong membersihkan lingkungan kampung merupakan contoh pengamalan sila...;Pertama dan Kedua;Kedua dan Keempat;Ketiga dan Kelima;Keempat dan Kelima;C
17;SD;Berikut ini adalah contoh sikap adil di sekolah, kecuali...;Membagi tugas piket rata;Memberikan contekan kepada teman;Tidak memihak dalam perselisihan;Menilai tugas sesuai hasil kerja;B
18;SD;Contoh tanggung jawab sebagai Ketua Kelas adalah...;Hanya datang ke sekolah;Menghukum teman yang ramai;Bermain saat jam pelajaran;Memimpin teman menjalankan piket;D
19;SD;Kewajiban yang harus dilakukan agar hak mendapatkan lingkungan bersih terpenuhi adalah...;Membuang sampah pada tempatnya;Menyiram bunga setiap hari;Mematikan lampu saat siang;Menutup pintu dan jendela;A
20;SD;Berikut adalah salah satu hak anak di rumah...;Mendapatkan kasih sayang;Membersihkan rumah;Menghormati orang tua;Belajar dengan tekun;A
21;SD;Organisasi di lingkungan sekolah yang menerapkan nilai musyawarah adalah...;Pramuka;OSIS/Kepengurusan Kelas;Dokter Kecil;Klub Olahraga;B
22;SD;Nilai yang terkandung dalam sila ketiga Pancasila adalah...;Keadilan Sosial;Kemanusiaan;Kerakyatan;Persatuan dan Kesatuan;D
23;SD;Alasan utama mengapa kita harus menghargai keragaman suku dan budaya adalah untuk...;Mendapatkan teman baru;Menjaga persatuan dan kesatuan bangsa;Memperkaya pengetahuan pribadi;Membuat negara terlihat lebih modern;B
24;SD;Tokoh yang mengemukakan rumusan Pancasila pada tanggal 1 Juni 1945 adalah...;Mr. Soepomo;Dr. Radjiman Wedyodiningrat;Mohammad Yamin;Ir. Soekarno;D
25;SD;Pasal dalam UUD 1945 yang menjamin hak warga negara untuk memeluk agama dan beribadah adalah Pasal...;28;31;29 ayat (2);33;C
26;SD;Salah satu contoh tanggung jawab siswa di kelas adalah...;Mengikuti lomba cerdas cermat;Berkelahi dengan teman;Menonton film saat istirahat;Menjaga kebersihan meja belajarnya;D
27;SD;Jika terjadi perbedaan pendapat saat musyawarah, sikap yang harus kita lakukan adalah...;Memaksakan pendapat sendiri;Menghargai dan menerima keputusan akhir;Meninggalkan ruang musyawarah;Marah kepada peserta lain;B
28;SD;Dasar hukum tertinggi yang menjadi sumber dari segala sumber hukum di Indonesia adalah...;Undang-Undang Dasar 1945;Peraturan Pemerintah;Pancasila;Undang-Undang;A
29;SD;Tindakan seorang anak yang bersedia antre saat akan membeli makanan di kantin merupakan cerminan sikap...;Keadilan sosial;Persatuan;Demokrasi;Ketuhanan;A
30;SD;Salah satu tujuan utama BPUPKI (Badan Penyelidik Usaha-Usaha Persiapan Kemerdekaan Indonesia) adalah...;Mempersiapkan proklamasi;Membentuk Komite Nasional;Mengesahkan UUD 1945;Merumuskan dasar negara;D
31;SD;Di bawah ini yang merupakan hak anak di masyarakat adalah...;Mematuhi tata tertib;Mendapatkan perlindungan;Ikut serta kerja bakti;Menjaga ketenangan;B
32;SD;Dalam kehidupan bertetangga, jika ada warga yang mengalami musibah, kita wajib menunjukkan sikap...;Menjauhi mereka;Bersikap tidak peduli;Tolong-menolong dan empati;Hanya melihat dari jauh;C
33;SD;Perilaku yang mencerminkan sikap rela berkorban demi bangsa dan negara adalah...;Belajar dengan giat untuk memajukan bangsa;Menuntut hak tanpa melaksanakan kewajiban;Hanya mementingkan diri sendiri;Menghindari tugas dari guru;A
34;SD;Makna dari lambang rantai pada sila kedua Pancasila adalah...;Kekuatan rakyat;Hubungan antarmanusia yang saling membutuhkan;Kesuburan dan kemakmuran;Keadilan merata;B
35;SD;Manfaat utama dari menaati peraturan yang berlaku di lingkungan adalah...;Mendapat hadiah;Tidak disukai teman;Menciptakan ketertiban dan keamanan;Menjadi terkenal;C
36;SD;Contoh pengamalan sila Ketuhanan Yang Maha Esa di lingkungan sekolah adalah...;Berdiskusi tentang nilai-nilai agama;Membantu teman membuat tugas;Berdoa sebelum dan sesudah belajar;Melaksanakan piket kelas;C
37;SD;Makna dari semboyan Bhinneka Tunggal Ika adalah...;Bersatu kita teguh;Berbeda-beda tetapi tetap satu jua;Sebaiknya saling bergotong royong;Utamakan kepentingan pribadi;B
38;SD;Bunyi sila keempat Pancasila adalah...;Kemanusiaan yang adil dan beradab;Persatuan Indonesia;Keadilan sosial bagi seluruh rakyat Indonesia;Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan/perwakilan;D
39;SD;Hak seorang anak di lingkungan rumah adalah...;Wajib membersihkan rumah;Wajib menghormati orang tua;Wajib belajar dengan tekun;Mendapatkan kasih sayang dan kebutuhan;D
40;SD;Tanggung jawab adalah...;Keinginan untuk mendapatkan hak;Sesuatu yang harus dituntut;Kebebasan tanpa batas;Kesadaran akan tingkah laku yang wajib ditanggung;D
41;SD;Perilaku yang menunjukkan sikap cinta tanah air di lingkungan masyarakat adalah...;Menonton film luar negeri;Menggunakan produk-produk lokal/dalam negeri;Membenci budaya daerah lain;Berlibur ke luar negeri setiap tahun;B
42;SD;Jika ada masalah di lingkungan RT, cara terbaik untuk menyelesaikannya sesuai sila keempat Pancasila adalah dengan...;Pemungutan suara (voting);Keputusan ketua RT saja;Musyawarah mufakat;Keputusan sepihak dari tokoh masyarakat;C
43;SD;Kita wajib menjaga persatuan dan kesatuan bangsa agar...;Menjadi negara yang paling kaya;Mudah dijajah oleh negara lain;Pembangunan berjalan lancar dan tercipta kerukunan;Semua orang bisa hidup bebas tanpa aturan;C
44;SD;Tujuan negara Indonesia yang termuat dalam Pembukaan UUD 1945 alinea keempat adalah...;Mewujudkan masyarakat adil dan makmur;Menjadikan Indonesia sebagai negara adi daya;Melindungi segenap bangsa dan memajukan kesejahteraan umum;Membentuk DPR dan MPR;C
45;SD;Manfaat utama dari menerapkan sikap adil dalam kehidupan sehari-hari adalah...;Mendapat pujian dari guru;Tercipta kerukunan dan tidak terjadi konflik sosial;Mendapat nilai yang bagus;Semua keinginan terpenuhi;B
46;SD;Berikut adalah salah satu kewajiban sebagai warga negara Indonesia...;Wajib menaati hukum dan pemerintahan;Berhak mendapatkan kehidupan yang layak;Berhak mengeluarkan pendapat;Berhak memilih dan dipilih;A
