No;Tingkat;Soal;Pilihan A;Pilihan B;Pilihan C;Pilihan D;Jawaban
1;SMA;Teks laporan hasil observasi harus disajikan secara objektif yang berarti...;Sesuai opini penulis;Sesuai keadaan nyata tanpa pengaruh pribadi;Ditulis dengan gaya bahasa fiksi;Berisi kritik sosial tajam;B
2;SMA;Bagian akhir teks laporan hasil observasi yang berisi penegasan atau kesimpulan manfaat objek disebut...;Pernyataan umum;Deskripsi bagian;Deskripsi manfaat;Orientasi;C
3;SMA;Cerita cerita pendek yang mengandung unsur lucu dan mempunyai maksud untuk melakukan kritik disebut teks...;Humor;Cerpen;Anekdot;Hikayat;C
4;SMA;Struktur teks anekdot yang menunjukkan situasi awal cerita atau pengenalan latar dinamakan...;Abstrak;Orientasi;Krisis;Reaksi;B
5;SMA;Bagian inti krisis pada teks anekdot merupakan bagian yang berisi...;Penyelesaian masalah;Pengenalan tokoh;Munculnya masalah unik atau ganjil;Kesimpulan cerita;C
6;SMA;Karya sastra Melayu klasik berbentuk prosa yang berisi cerita undang-undang dan silsilah bersifat rekaan disebut...;Novel;Hikayat;Cerpen;Roman;B
7;SMA;Karakteristik hikayat yang berarti tidak diketahui secara jelas siapa nama pengarangnya disebut...;Istanasentris;Anonim;Arkais;Kemustahilan;B
8;SMA;Kata-kata seperti hatta, alkisah, sebermula dalam teks hikayat merupakan contoh kata...;Populer;Arkais;Slang;Ilmiah;B
9;SMA;Proses tawar-menawar antara dua pihak untuk mencapai kesepakatan bersama disebut teks...;Eksposisi;Negosiasi;Debat;Diskusi;B
10;SMA;Struktur teks negosiasi yang berisi pengajuan awal atau pembuka percakapan dinamakan...;Orientasi;Pengajuan;Penawaran;Persetujuan;A
11;SMA;Inti dari struktur teks negosiasi demi mencapai titik temu kedua pihak berada pada bagian...;Orientasi;Penawaran;Penutup;Salam;B
12;SMA;Kegiatan adu argumentasi antara dua pihak atau lebih secara resmi untuk mempertahankan pendapat disebut...;Musyawarah;Negosiasi;Debat;Diskusi;C
13;SMA;Tim yang bertugas menyanggah argumen dari mosi yang diberikan dalam debat disebut tim...;Afirmatif;Oposisi;Netral;Moderator;B
14;SMA;Pihak yang memimpin dan mengatur jalannya kegiatan debat dari awal sampai akhir adalah...;Penonton;Juri;Moderator;Notulen;C
15;SMA;Unsur biografi yang memuat identitas ringkas tokoh utama berupa nama dan tempat tanggal lahir disebut...;Orientasi;Peristiwa penting;Reorientasi;Koda;A
16;SMA;Verba yang menyatakan tindakan fisik yang dilakukan oleh tokoh dinamakan verba...;Mental;Material;Tingkah laku;Kopula;B
17;SMA;Kata 'mengagumi' dan 'merasakan' dalam teks biografi termasuk ke dalam jenis verba...;Material;Mental;Imperatif;Hubungan;B
18;SMA;Kalimat yang menggunakan konjungsi temporal (waktu) di bawah ini adalah...;Ayah membaca koran lalu minum kopi.;Ibu membeli baju karena diskon besar.;Dia tetap pergi meskipun hujan lebat.;Rumah itu sangat besar dan megah.;A
19;SMA;Ide pokok paragraf yang terletak di awal paragraf disebut paragraf...;Deduktif;Induktif;Campuran;Deskriptif;A
20;SMA;Makna kata yang sesuai dengan kamus atau makna yang sebenarnya disebut makna...;Konotatif;Denotatif;Kiasan;Idiomatik;B
21;SMA;Makna kata yang mengandung nilai rasa atau makna tambahan disebut makna...;Denotatif;Konotatif;Leksikal;Gramatikal;B
22;SMA;Penulisan kata serapan yang baku di bawah ini adalah...;Apotik;Apotek;Aktifitas;Sistim;B
23;SMA;Kalimat yang tidak memiliki subjek atau predikat yang jelas sehingga maknanya rancu disebut kalimat...;Efektif;Tidak efektif;Utama;Penjelas;B
24;SMA;Kalimat berikut yang menggunakan ragam bahasa baku adalah...;Saya sudah bilang sama dia kemarin.;Jadwal ujian sudah ditempel di mading.;Mereka lagi bikin tugas kelompok.;Emangnya kamu mau pergi ke mana?;B
25;SMA;Ringkasan struktur cerita dari awal sampai akhir dalam sebuah karya fiksi disebut...;Tema;Alur;Latar;Amanat;B
26;SMA;Teks prosedur kompleks memiliki karakteristik utama yaitu...;Langkahnya singkat hanya dua tahap;Langkahnya panjang, terperinci, dan bercabang;Berisi cerita lucu berwujud sindiran;Menjelaskan proses sejarah alam;B
27;SMA;Kata kerja yang menyatakan larangan atau perintah dalam teks prosedur dinamakan verba...;Deklaratif;Interogatif;Imperatif;Edukatif;C
28;SMA;Teks yang menjelaskan proses terjadinya suatu fenomena alam, sosial, atau budaya secara kausalitas disebut teks...;Eksplanasi;Deskripsi;Prosedur;Negosiasi;A
29;SMA;Struktur teks eksplanasi yang memuat penjelasan rinci urutan kronologis fenomena disebut...;Identifikasi fenomena;Penggambaran rangkaian kejadian;Ulasan atau interpretasi;Pernyataan pendapat;B
30;SMA;Bagian penutup teks eksplanasi yang berisi komentar atau penilaian atas konsekuensi fenomena disebut...;Orientasi;Tesis;Interpretasi;Komplikasi;C
31;SMA;Pidato di depan khalayak banyak yang berisi penyampaian informasi, nasihat, atau ajaran dinamakan...;Ceramah;Debat;Diskusi;Wawancara;A
32;SMA;Struktur teks ceramah secara berurutan terdiri atas...;Tesis - Argumentasi - Penegasan ulang;Pembuka - Isi - Penutup;Orientasi - Krisis - Reaksi;Pengantar - Langkah - Simpulan;B
33;SMA;Rencana kerja yang disusun secara sistematis dan tertulis untuk diajukan mendapatkan persetujuan atau dana disebut...;Artikel;Proposal;Laporan;Skripsi;B
34;SMA;Bagian proposal yang berisi alasan utama mengapa kegiatan tersebut mendesak untuk dilaksanakan dinamakan...;Dasar pemikiran;Latar belakang;Tujuan kegiatan;Anggaran biaya;B
35;SMA;Jenis proposal yang digunakan dalam dunia akademis untuk merencanakan sebuah penelitian ilmiah disebut proposal...;Kegiatan;Penelitian;Bisnis;Proyek;B
36;SMA;Karya tulis yang memuat pembahasan masalah ilmiah berdasarkan fakta di lapangan menggunakan metode tertentu disebut...;Cerpen;Puisi;Karya Ilmiah;Dongeng;C
37;SMA;Bagian awal karya ilmiah yang berisi ulasan teori dari peneliti terdahulu dinamakan...;Metodologi penelitian;Landasan teori;Analisis data;Kesimpulan;B
38;SMA;Bagian penutup karya ilmiah yang merangkum seluruh hasil analisis masalah dinamakan...;Pendahuluan;Pembahasan;Kesimpulan;Daftar pustaka;C
39;SMA;Teks yang berisi ulasan, penilaian, atau pertimbangan kelebihan dan kekurangan suatu buku atau film disebut...;Kritik;Esai;Resensi;Sinopsis;C
40;SMA;Unsur resensi yang memuat judul buku, pengarang, penerbit, tahun terbit, dan tebal halaman disebut...;Identitas buku;Sinopsis;Keunggulan buku;Penutup resensi;A
41;SMA;Kalimat dalam resensi yang menunjukkan kelemahan buku adalah...;Buku ini memiliki cover yang sangat menarik.;Alur cerita mudah dipahami pembaca pemula.;Terdapat beberapa kesalahan cetak kata yang mengganggu.;Gaya bahasa penulis sangat mengalir bagus.;C
42;SMA;Drama merupakan karya sastra yang ditulis dalam bentuk...;Bait-bait puisi;Paragraf narasi deskripsi;Dialog antar tokoh;Daftar tabel data;C
43;SMA;Bagian pengantar dalam naskah drama sebelum para tokoh memulai dialog dinamakan...;Epilog;Monolog;Prolog;Dialog;C
44;SMA;Kalimat perintah dalam teks prosedur ditandai dengan partikel penegas...;-lah;-kah;-pun;-tah;A
45;SMA;Konjungsi yang menunjukkan hubungan sebab-akibat disebut konjungsi...;Temporal;Kausalitas;Koordinatif;Korelatif;B
46;SMA;Contoh kata ilmiah yang sering digunakan dalam karya ilmiah bertema biologi adalah...;Fotosintesis;Konsumen;Inflasi;Demokrasi;A
47;SMA;Sumber acuan referensi buku yang diletakkan pada bagian paling akhir sebuah karya ilmiah dinamakan...;Catatan kaki;Glosarium;Daftar pustaka;Indeks;C
48;SMA;Kalimat yang susunannya ringkas, logis, dan mudah dipahami sesuai tata bahasa baku disebut kalimat...;Efektif;Ambigu;Majemuk;Pasif;A
49;SMA;Bagian naskah drama yang berisi pesan atau simpulan cerita di akhir pementasan dinamakan...;Prolog;Dialog;Epilog;Solilokui;C
50;SMA;Istilah 'latar' dalam unsur intrinsik sebuah cerpen mencakup tiga hal yaitu...;Tema, tokoh, alur;Waktu, tempat, suasana;Watak, amanat, sudut pandang;Judul, sinopsis, resensi;B
