No;Tingkat;Soal;Pilihan A;Pilihan B;Pilihan C;Pilihan D;Jawaban
1;SMA;Sistem pembagian kekuasaan yang diterapkan di Indonesia menurut UUD 1945 mengacu pada ajaran...;Separation of power murni;Distribution of power;Monarki absolut;Parlemen murni;B
2;SMA;Kekuasaan untuk mengubah dan menetapkan Undang-Undang Dasar di Indonesia dipegang oleh...;Presiden;DPR;MPR;MA;C
3;SMA;Lembaga negara yang memegang kekuasaan eksekutif di Indonesia adalah...;DPR;Presiden;MA;BPK;B
4;SMA;Kekuasaan memeriksa pengelolaan dan tanggung jawab keuangan negara dipegang oleh lembaga...;KPK;BPK;MA;MK;B
5;SMA;Kementerian Negara Republik Indonesia dipimpin oleh menteri yang diangkat dan diberhentikan oleh...;Ketua DPR;Ketua MPR;Presiden;Wakil Presiden;C
6;SMA;Batas wilayah laut teritorial Indonesia berdasarkan Deklarasi Djuanda adalah sejauh...;3 mil;12 mil;200 mil;350 mil;B
7;SMA;Wilayah laut ekonomi eksklusif (ZEE) Indonesia diukur dari garis pangkal sejauh...;12 mil;24 mil;200 mil;350 mil;C
8;SMA;Kedudukan warga negara Indonesia diatur dalam UUD Negara Republik Indonesia Tahun 1945 Pasal...;Pasal 26;Pasal 27;Pasal 28;Pasal 29;A
9;SMA;Asas kewarganegaraan yang menentukan kewarganegaraan seseorang berdasarkan tempat kelahiran disebut...;Ius sanguinis;Ius soli;Apatride;Bipatride;B
10;SMA;Seseorang yang tidak memiliki kewarganegaraan sama sekali disebut...;Apatride;Bipatride;Multipatride;Naturalisasi;A
11;SMA;Kemerdekaan memeluk agama dan beribadah menurut agamanya dijamin dalam UUD 1945 Pasal...;Pasal 27 ayat 1;Pasal 28E ayat 1;Pasal 29 ayat 2;Pasal 30 ayat 1;C
12;SMA;Sistem pertahanan dan keamanan yang melibatkan seluruh rakyat dan sumber daya nasional disebut...;Sishankamrata;Militerisme;Pertahanan konvensional;Sistem blokade;A
13;SMA;Komponen utama dalam sistem pertahanan dan keamanan rakyat semesta (Sishankamrata) adalah...;Seluruh rakyat;TNI dan Polri;Kepolisian saja;Mahasiswa;B
14;SMA;Sikap yang memandang suku bangsa sendiri lebih unggul dan merendahkan suku bangsa lain disebut...;Nasionalisme;Etnosentrisme;Patriotisme;Sukuisme;B
15;SMA;Integrasi nasional dalam masyarakat majemuk Indonesia dapat terwujud jika seluruh warga memiliki sikap...;Toleransi dan tenggang rasa;Primordialisme;Etnosentrisme;Individualisme;A
16;SMA;Contoh ancaman militer terhadap kedaulatan NKRI dari pihak luar adalah...;Demonstrasi buruh;Agresi atau invasi asing;Korupsi pejabat;Kenakalan remaja;B
17;SMA;Ancaman nonmiliter berbentuk penyusupan nilai budaya asing yang merusak moral bangsa dinamakan...;Infiltrasi ideologi;Sabotase;Spionase;Agresi;A
18;SMA;Dasar hukum bela negara bagi setiap warga negara Indonesia ditegaskan dalam UUD 1945 Pasal...;Pasal 27 ayat 3;Pasal 29 ayat 1;Pasal 31 ayat 1;Pasal 33 ayat 2;A
19;SMA;Pemilihan Umum (Pemilu) di Indonesia dilaksanakan berdasarkan asas Luber Jurdil yang merupakan singkatan dari...;Langsung, Umum, Bebas, Rahasia, Jujur, Adil;Langsung, Utama, Bebas, Rapi, Jujur, Adil;Luar biasa, Umum, Bebas, Rahasia, Jujur, Adil;Langsung, Umum, Bersih, Rahasia, Jujur, Adil;A
20;SMA;Bhinneka Tunggal Ika memiliki arti makna mendasar bagi bangsa Indonesia yaitu...;Berbeda-beda tetapi tetap satu jua;Bersatu kita teguh bercerai kita runtuh;Bersama membangun masa depan bangsa;Kejayaan negara di atas keragaman;A
21;SMA;Lembaga baru yang dibentuk setelah amandemen UUD 1945 yang berfungsi menguji undang-undang terhadap UUD adalah...;Mahkamah Agung;Mahkamah Konstitusi;Komisi Yudisial;Dewan Perwakilan Daerah;B
22;SMA;Hak DPR untuk melakukan penyelidikan terhadap kebijakan pemerintah yang diduga melanggar undang-undang disebut hak...;Interpelasi;Angket;Menyatakan pendapat;Imunitas;B
23;SMA;Hak DPR untuk meminta keterangan kepada pemerintah mengenai kebijakan yang penting dan strategis dinamakan hak...;Interpelasi;Angket;Imunitas;Budget;A
24;SMA;Setiap warga negara berhak mendapatkan pendidikan. Ketentuan ini tertuang dalam UUD 1945 Pasal...;Pasal 30;Pasal 31;Pasal 32;Pasal 33;B
25;SMA;Landasan idiil bagi pelaksanaan politik luar negeri Indonesia yang bebas aktif adalah...;Ketetapan MPR;Pancasila;UUD 1945;Piagam PBB;B
26;SMA;Hak asasi manusia memiliki sifat hakiki yang berarti hak asasi manusia tersebut...;Dapat dibeli dan dijual;Berlaku untuk semua orang tanpa memandang status;Sudah ada sejak manusia dalam kandungan sebagai anugerah;Dapat dicabut oleh pemerintah;C
27;SMA;Undang-Undang Republik Indonesia yang mengatur secara khusus tentang Hak Asasi Manusia adalah...;UU Nomor 22 Tahun 1999;UU Nomor 39 Tahun 1999;UU Nomor 26 Tahun 2000;UU Nomor 12 Tahun 2011;B
28;SMA;Lembaga peradilan khusus yang dibentuk untuk mengadili pelanggaran HAM yang berat di Indonesia dinamakan...;Pengadilan Negeri;Pengadilan HAM;Mahkamah Agung;Pengadilan Tata Usaha Negara;B
29;SMA;Berikut ini yang termasuk dalam kategori pelanggaran HAM yang berat menurut UU Nomor 26 Tahun 2000 adalah...;Pencurian dengan kekerasan;Genosida dan kejahatan terhadap kemanusiaan;Penipuan uang nasabah;Pelanggaran lalu lintas;B
30;SMA;Bentuk pemerintahan yang dianut negara Indonesia berdasarkan ketentuan UUD NRI Tahun 1945 adalah...;Kesatuan;Republik;Monarki;Federasi;B
31;SMA;Pelaksanaan demokrasi di Indonesia didasarkan pada sila Pancasila yang ke...;Dua;Tiga;Empat;Lima;C
32;SMA;Suatu pemerintahan disebut menerapkan sistem demokrasi jika kekuasaan tertinggi berada di tangan...;Raja;Presiden;Rakyat;Militer;C
33;SMA;Lembaga peradilan yang berfungsi sebagai pengadilan tingkat kasasi di Indonesia adalah...;Pengadilan Tinggi;Mahkamah Konstitusi;Mahkamah Agung;Komisi Yudisial;C
34;SMA;Lembaga yang berwenang mengusulkan pengangkatan hakim agung kepada DPR adalah...;Presiden;Mahkamah Konstitusi;Komisi Yudisial;Kejaksaan Agung;C
35;SMA;Sikap terbuka, jujur, dan menempatkan kepentingan publik di atas pribadi dalam demokrasi dinamakan...;Transparansi;Akuntabilitas;Otoriter;Birokrasi;A
36;SMA;Kerja sama antarnegara yang dilakukan oleh dua negara saja dinamakan hubungan...;Multilateral;Bilateral;Regional;Internasional;B
37;SMA;Kerja sama internasional yang dilakukan oleh negara-negara di kawasan Asia Tenggara dinamakan...;PBB;OPEC;ASEAN;NATO;C
38;SMA;Organisasi internasional internasional yang bertujuan memelihara perdamaian dan keamanan dunia secara global adalah...;ASEAN;G20;PBB;APEC;C
39;SMA;Politik luar negeri Indonesia dalam menjalin hubungan internasional bersifat...;Bebas dan aktif;Memihak blok tertentu;Isolasi diri;Dependen;A
40;SMA;Perwakilan diplomatik tertinggi suatu negara yang ditempatkan di negara lain dinamakan...;Konsul;Atase;Duta Besar;Kuasa Usaha;C
41;SMA;Dokumen resmi perjanjian internasional internasional yang ditandatangani oleh dua negara dinamakan...;Traktat;Konvensi;Piagam;Protokol;A
42;SMA;Peran aktif Indonesia dalam perdamaian dunia diwujudkan dengan mengirimkan pasukan perdamaian PBB yang dinamakan...;Pasukan Elit;Kontingen Garuda;Pasukan Brimob;Resimen Mahasiswa;B
43;SMA;Ideologi yang menjadi dasar dan pedoman hidup seluruh elemen bangsa Indonesia adalah...;Liberalisme;Sosialisme;Pancasila;Kapitalisme;C
44;SMA;Konsep Wawasan Nusantara memandang wilayah Indonesia sebagai satu kesatuan yang utuh meliputi...;Darat saja;Laut saja;Udara saja;Darat, laut, dan udara;D
45;SMA;Pelanggaran HAM ringan contohnya berbentuk tindakan...;Genosida;Pencemaran nama baik dan penganiayaan ringan;Pembunuhan massal;Perbudakan sistematis;B
46;SMA;Penyelidikan kasus pelanggaran HAM di Indonesia merupakan wewenang dari lembaga nasional yaitu...;Komnas HAM;KPK;Polri;Kejaksaan Agung;A
47;SMA;Asas peradilan di Indonesia yang mengutamakan kecepatan dan biaya murah disebut asas peradilan...;Sederhana, cepat, dan biaya ringan;Rahasia dan memaksa;Berbelit-belit dan mahal;Subjektif dan mengikat;A
48;SMA;Perilaku budaya korupsi sangat bertentangan dengan nilai keadilan dalam Pancasila sila ke...;Dua;Tiga;Empat;Lima;D
49;SMA;Sikap memaksakan kehendak pilihan politik kepada orang lain melanggar prinsip utama demokrasi yaitu...;Kebebasan berpendapat;Persamaan kedudukan hukum;Kedaulatan kelompok;Supremasi hukum;A
50;SMA;Salah satu hak asasi peradilan (procedural rights) yang dimiliki seseorang saat ditangkap polisi adalah...;Hak dianggap tidak bersalah sebelum ada putusan hakim;Hak mendapatkan fasilitas mewah di sel;Hak menghapus seluruh catatan kriminal;Hak menolak proses persidangan;A
