No;Tingkat;Soal;Pilihan A;Pilihan B;Pilihan C;Pilihan D;Jawaban
1;SMP;"Dina: ""Good morning, Sir."" / Mr. Alan: ""..., Dina. How are you?""";Good afternoon;Good morning;Good night;Goodbye;B
2;SMP;"Ali: ""I think I have to go now. Goodbye, Budi."" / Budi: ""...""";You are welcome;See you later;Good morning;Thank you;B
3;SMP;"Rian: ""Thank you for helping me, Sinta."" / Sinta: ""...""";I am sorry;Goodbye;You are welcome;No, thanks;C
4;SMP;"Tono: ""I am sorry for breaking your ruler, Andi."" / Andi: ""...""";That is okay, don't worry;Thank you;You are welcome;Goodbye;A
5;SMP;"Complete the sentence: ""Hello, my ... is Linda. I am from Jakarta.""";name;address;hobby;age;A
6;SMP;If today is Monday, tomorrow will be...;Sunday;Tuesday;Wednesday;Friday;B
7;SMP;What is the English word for the number 75?;Seventy-four;Seventy-five;Fifty-seven;Eighty-five;B
8;SMP;It is 07.30 AM. We can say it is...;half past seven;quarter past seven;half past eight;quarter to seven;A
9;SMP;"Complete the sentence: ""We use our ... to see beautiful things.""";ears;nose;eyes;hands;C
10;SMP;My father has a sister. She is my...;uncle;aunt;grandmother;cousin;B
11;SMP;"Complete the sentence: ""An elephant is very ..., but a mouse is small.""";thin;big;short;weak;B
12;SMP;"Complete the sentence: ""Cats ... to eat fish.""";likes;like;liking;is like;B
13;SMP;"Complete the sentence: ""He ... a student. He studies at SMP 1.""";is;am;are;were;A
14;SMP;"Complete the sentence: ""The book is ... the table."" (Di atas meja)";under;in;on;behind;C
15;SMP;What is the opposite of 'expensive'?;cheap;rich;old;clean;A
16;SMP;"Complete the sentence: ""Where ... you live?""";does;do;is;are;B
17;SMP;A person who teaches students in a school is a...;doctor;chef;driver;teacher;D
18;SMP;Text that describes a specific person, place, or thing in detail is called...;Narrative text;Descriptive text;Procedure text;Report text;B
19;SMP;"Complete the sentence: ""A giraffe has a long ...""";tail;wing;neck;horn;C
20;SMP;"Change this sentence into negative: ""She plays badminton every Sunday.""";She do not play badminton.;She not play badminton.;She does not play badminton.;She did not play badminton.;C
21;SMP;"Complete the sentence: ""This is my dog. ... name is Blacky.""";Its;His;Her;Their;A
22;SMP;"Complete the sentence: ""They ... soccer in the field right now.""";is playing;am playing;are playing;play;C
23;SMP;We usually have breakfast in the...;night;evening;morning;afternoon;C
24;SMP;Which of the following is a fruit?;Spinach;Carrot;Apple;Cabbage;C
25;SMP;"Rearrange these words: ""is - beautiful - My - mother""";Beautiful is my mother;My mother beautiful is;My mother is beautiful;Mother my is beautiful;C
26;SMP;"Complete the sentence: ""You look tired. You ... take a rest.""";should;must not;cannot;will not;A
27;SMP;"Complete the sentence: ""May I ... your pen, please? I forgot to bring mine.""";lend;borrow;buy;give;B
28;SMP;"Sinta: ""Happy birthday, John! Wish you all the best."" / John: ""...""";You are right;Thank you very much;I am sorry;No problem;B
29;SMP;Text that tells about a past experience or event is called...;Descriptive text;Recount text;Procedure text;Narrative text;B
30;SMP;Which of the following time signals is used for past events?;Tomorrow;Right now;Yesterday;Every day;C
31;SMP;"Complete the sentence: ""I ... to Bali with my family last year.""";go;goes;went;going;C
32;SMP;"Complete the sentence: ""They ... at the cinema last night.""";was;were;am;are;B
33;SMP;What is the past form (Verb 2) of the word 'eat'?;eaten;eating;ate;eats;C
34;SMP;"Change this sentence into past tense interrogative (?): ""He watched a movie.""";Does he watch a movie?;Did he watch a movie?;Do he watched a movie?;Was he watch a movie?;B
35;SMP;A text that explains how to make or do something through steps is called...;Report text;Procedure text;Narrative text;Recount text;B
36;SMP;"""First, pour some water into the glass."" The underlined word is an example of...";Temporal conjunction;Action verb;Noun;Adjective;A
37;SMP;"Complete the recipe: ""Don't forget to ... the sugar until it dissolves.""";cut;stir;slice;peel;B
38;SMP;An imaginative story that aims to entertain the readers (e.g., Cinderella, Malin Kundang) is called...;Descriptive text;Narrative text;Procedure text;Report text;B
39;SMP;The part of a narrative text where the problem arises is called...;Orientation;Complication;Resolution;Reorientation;B
40;SMP;The moral value of a story can usually be found in the...;Orientation;Complication;Resolution;Title;C
41;SMP;"Comparison degree: ""A car is ... than a bicycle.""";fast;faster;fastest;more fast;B
42;SMP;"Comparison degree: ""Mount Everest is the ... mountain in the world.""";high;higher;highest;more high;C
43;SMP;"Complete the sentence: ""An ant is smaller ... a cat.""";then;than;that;like;B
44;SMP;"Complete the dialogue: ""Can you help me lift this box?"" / ""..., I can do it.""";No, thanks;Sure;I am sorry;I don't think so;B
45;SMP;"What does a 'Notice' that says ""KEEP OFF THE GRASS"" mean?";We can play on the grass;We must not walk on the grass;We should water the grass;We must cut the grass;B
46;SMP;"""CAUTION: WET FLOOR"". Where do you usually see this notice?";In the garden;At the beach;Inside a public toilet or mall;In the sky;C
47;SMP;"Complete the sentence: ""She can play the guitar, but she ... play the piano.""";can;cannot;should;must;B
48;SMP;"Complete the sentence: ""Listen! The birds ... sweetly outside.""";are singing;sing;sang;is singing;A
49;SMP;What is the past form (Verb 2) of the word 'buy'?;bought;buyed;buying;buys;A
50;SMP;A short message sent to someone because they cannot meet directly is called a...;Greeting card;Short memo or message;Announcement;Narrative text;B
