No;Tingkat;Soal;Pilihan A;Pilihan B;Pilihan C;Pilihan D;Jawaban
1;SMP;Teks yang menggambarkan objek, tempat, atau peristiwa secara jelas dan terperinci disebut teks...;Narasi;Deskripsi;Eksposisi;Prosedur;B
2;SMP;Kalimat berikut yang menggunakan cerapan pancaindra penglihatan adalah...;Desir angin malam itu terasa dingin.;Aroma kopi tubruk itu sangat memikat.;Ayah memakai kemeja biru bermotif batik.;Gemercik air sungai terdengar merdu.;C
3;SMP;Struktur teks deskripsi yang berisi penjelasan detail mengenai bagian-bagian objek disebut...;Identifikasi;Deskripsi bagian;Simpulan;Orientasi;B
4;SMP;Ciri utama dari teks cerita fantasi adalah...;Bersifat ilmiah;Mengandung unsur gaib atau keajaiban;Berisi langkah membuat sesuatu;Berdasarkan kisah nyata;B
5;SMP;Bagian awal cerita fantasi yang mengenalkan tokoh, latar, dan konflik disebut...;Orientasi;Komplikasi;Resolusi;Koda;A
6;SMP;Teks yang berisi langkah-langkah atau tahapan yang harus ditempuh untuk mencapai suatu tujuan disebut...;Teks LHO;Teks Eksplanasi;Teks Prosedur;Teks Deskripsi;C
7;SMP;Kalimat berikut yang menggunakan kata kerja perintah (imperatif) adalah...;Ibu sedang memasak nasi di dapur.;Potonglah daun bawang itu tipis-tipis!;Kakak suka membaca buku cerita.;Mengapa kamu terlambat datang?;B
8;SMP;Struktur teks prosedur yang berisi tujuan atau pengantar tentang apa yang akan dibuat/dilakukan disebut...;Bahan-bahan;Langkah-langkah;Penutup;Tujuan;D
9;SMP;Teks LHO singkatan dari...;Laporan Hasil Opini;Laporan Hasil Observasi;Laporan Hasil Organisasi;Laporan Hari Opini;B
10;SMP;Sifat dari teks laporan hasil observasi adalah...;Fiktif dan imajinatif;Subjektif dan memihak;Objektif dan faktual;Rahasia dan pribadi;C
11;SMP;Bagian teks laporan hasil observasi yang berisi pembuka atau informasi umum objek disebut...;Deskripsi manfaat;Deskripsi bagian;Pernyataan umum;Kesimpulan;C
12;SMP;"Kata ""pantai"" termasuk ke dalam jenis kata...";Benda (nomina);Kerja (verba);Sifat (adjektiva);Keterangan (adverbia);A
13;SMP;Kalimat berikut yang menggunakan kata sifat adalah...;Kucing itu melompat ke atas meja.;Rumah baru itu sangat luas dan bersih.;Adik sedang belajar menulis angka.;Mereka pergi ke pasar tadi pagi.;B
14;SMP;Penggunaan huruf kapital yang tepat di bawah ini adalah...;ibu membeli pisang ambon di pasar.;Ibu membeli Pisang Ambon di Pasar.;Ibu membeli pisang Ambon di pasar.;Ibu membeli pisang ambon di Pasar.;C
15;SMP;"Penulisan kata depan ""di"" yang menunjukkan tempat yang benar adalah...";dirumah;di rumah;disana;dimakan;B
16;SMP;"Sinonim dari kata ""indah"" adalah...";Buruk;Elok;Luas;Jauh;B
17;SMP;"Antonim dari kata ""khawatir"" adalah...";Tenang;Cemas;Gelisah;Takut;A
18;SMP;Kalimat yang memiliki satu klausa atau satu pola kalimat (S-P-O-K) disebut kalimat...;Majemuk;Tunggal;Perintah;Tanya;B
19;SMP;Buku yang berisi cerita rekaan, imajinasi, dan tidak berdasarkan kenyataan disebut buku...;Fiksi;Nonfiksi;Biografi;Ensiklopedia;A
20;SMP;Salah satu contoh buku nonfiksi adalah...;Kumpulan dongeng;Buku pelajaran matematika;Novel romantis;Cerita pendek;B
