No;Tingkat;Soal;Pilihan A;Pilihan B;Pilihan C;Pilihan D;Jawaban
1;SMP;Hasil dari -12 + 7 - (-5) adalah...;-10;0;10;24;C
2;SMP;Hasil dari 24 x (-3) : 4 adalah...;-18;-12;12;18;A
3;SMP;FPB dari 36 dan 48 adalah...;6;12;18;24;B
4;SMP;KPK dari 12 dan 15 adalah...;30;45;60;90;C
5;SMP;Ibu membeli 2/2 kg telur, kemudian membeli lagi 3/4 kg. Berat seluruh telur Ibu adalah...;1 1/4 kg;1 1/2 kg;1 3/4 kg;2 1/4 kg;C
6;SMP;Hasil dari 2/3 x 9/10 adalah...;3/5;4/5;5/6;11/13;A
7;SMP;Bentuk paling sederhana dari perbandingan 45 : 75 adalah...;3 : 5;5 : 3;3 : 4;4 : 5;A
8;SMP;Sebuah peta memiliki skala 1 : 250.000. Jika jarak pada peta 4 cm, jarak sebenarnya adalah...;1 km;10 km;100 km;1.000 km;B
9;SMP;Suatu pekerjaan dapat selesai dalam 15 hari oleh 6 orang. Jika pekerja ditambah 3 orang, waktu selesainya adalah...;8 hari;10 hari;12 hari;20 hari;B
10;SMP;Harga beli sebuah barang Rp200.000. Jika barang dijual dengan untung 15%, maka harga jualnya adalah...;Rp215.000;Rp220.000;Rp230.000;Rp245.000;C
11;SMP;Sebuah baju seharga Rp150.000 mendapat diskon 20%. Harga baju setelah diskon adalah...;Rp120.000;Rp130.000;Rp135.000;Rp140.000;A
12;SMP;Suku-suku yang sejenis dari bentuk aljabar 3x^2 - 5x + 2x^2 - 7 adalah...;3x^2 dan -5x;-5x dan -7;3x^2 dan 2x^2;2x^2 dan -7;C
13;SMP;Bentuk sederhana dari 5x - 3y + 7x - 2y adalah...;12x - 5y;12x - y;2x - 5y;2x - y;A
14;SMP;Hasil perkalian dari 3(2x - 4) adalah...;6x - 4;6x - 12;5x - 7;5x - 12;B
15;SMP;Nilai x yang memenuhi persamaan 2x + 5 = 13 adalah...;3;4;5;6;B
16;SMP;Penyelesaian dari pertidaksamaan 3x - 2 > 10 adalah...;x > 4;x < 4;x > 3;x < 3;A
17;SMP;Diketahui himpunan A adalah bilangan prima antara 1 dan 7, di mana 7 termasuk di dalamnya. Anggota himpunan A adalah...;{2, 3, 5};{3, 5, 7};{2, 3, 5, 7};{1, 2, 3, 5, 7};B
18;SMP;Jika P adalah himpunan faktor dari 6, maka banyaknya himpunan bagian dari P adalah...;4;8;16;32;C
19;SMP;Dari 40 siswa, 25 suka matematika, 20 suka IPA, dan 10 suka keduanya. Banyak siswa yang tidak suka keduanya adalah...;3;5;8;15;B
20;SMP;Besar sudut pelurus dari sudut 75 derajat adalah...;15 derajat;25 derajat;105 derajat;115 derajat;C
21;SMP;Keliling sebuah persegi yang memiliki luas 64 cm2 adalah...;16 cm;24 cm;32 cm;48 cm;C
22;SMP;Sebuah segitiga memiliki alas 12 cm dan tinggi 8 cm. Luas segitiga tersebut adalah...;20 cm2;48 cm2;60 cm2;96 cm2;B
23;SMP;Luas trapesium dengan panjang sisi sejajar 10 cm dan 14 cm, serta tinggi 5 cm adalah...;60 cm2;70 cm2;120 cm2;140 cm2;A
24;SMP;Sebuah taman berbentuk lingkaran berdiameter 14 m. Keliling taman tersebut adalah...;22 m;44 m;88 m;154 m;B
25;SMP;Nilai rata-rata dari data: 7, 8, 6, 9, 8, 7, 10, 9 adalah...;7,5;7,8;8;8,2;C
26;SMP;Pola bilangan: 2, 5, 8, 11, ... Suku ke-10 dari pola tersebut adalah...;26;29;32;35;B
27;SMP;Tiga suku berikutnya dari barisan geometri 3, 6, 12, ... adalah...;15, 18, 21;24, 36, 48;24, 48, 96;20, 30, 40;C
28;SMP;Diketahui koordinat titik A(3, -4). Titik A berada pada kuadran...;I;II;III;IV;D
29;SMP;Jarak titik P(2, 3) terhadap sumbu-X adalah...;2 satuan;3 satuan;5 satuan;-3 satuan;B
30;SMP;Diketahui himpunan pasangan berurutan {(1,2), (2,4), (3,6)}. Relasi yang tepat adalah...;Faktor dari;Setengah dari;Dua kali dari;Kuadrat dari;B
31;SMP;Suatu fungsi didefinisikan dengan f(x) = 3x - 5. Nilai dari f(4) adalah...;7;12;17;-7;A
32;SMP;Gradien garis yang melalui titik pusat (0,0) dan titik (3, 6) adalah...;2;-2;1/2;-1/2;A
33;SMP;Gradien dari persamaan garis 2y = 4x + 6 is...;2;4;-2;-4;A
34;SMP;Persamaan garis yang melalui titik (0,3) dengan gradien 2 adalah...;y = 2x - 3;y = 2x + 3;y = -2x + 3;y = 3x + 2;B
35;SMP;Penyelesaian dari sistem persamaan x + y = 5 dan x - y = 1 adalah...;x=2, y=3;x=3, y=2;x=4, y=1;x=1, y=4;B
36;SMP;Harga 2 buku dan 3 pensil Rp12.000. Harga 1 buku dan 2 pensil Rp7.000. Harga 1 buku adalah...;Rp2.000;Rp3.000;Rp4.000;Rp5.000;B
37;SMP;Sebuah segitiga siku-siku memiliki panjang sisi tegak 6 cm dan 8 cm. Panjang sisi miringnya adalah...;10 cm;12 cm;14 cm;15 cm;A
