No. ;Tingkat;Soal;Pilihan A;Pilihan B;Pilihan C;Pilihan D;Kunci
1;SMP;Hukum bacaan idgham bigunnah terjadi apabila nun mati atau tanwin bertemu dengan salah satu huruf...;Yaa, Nun, Mim, Wawu;Ba, Mim, Nun, Wawu;Lam, Ra, Yaa, Mim;Idzhar halqi;A
2;SMP;Apa perbedaan mendasar antara Idgham Mutamatsilain dan Idgham Mutajanisain?;Huruf yang bertemu sama persis vs makhraj sama sifat berbeda;Keduanya sama saja;Mutajanisain wajib dibaca dengung;Mutamatsilain tidak boleh dengung;A
3;SMP;Perhatikan Q.S. An-Nisa/4:146. Mengapa tawakal harus didahului dengan keikhlasan beragama?;Karena syarat sahnya salat;Karena amal tanpa ikhlas tidak diterima Allah;Karena perintah nabi;Karena kewajiban sosial;B
4;SMP;Apa makna Istiqlal dalam konteks nama surah atau konsep ketuhanan?;Kemerdekaan/Kemandirian;Kedamaian;Ketabahan;Kemenangan;A
5;SMP;Mengapa iman kepada hari akhir dapat mencegah seseorang dari perilaku korupsi?;Takut dipenjara;Menyadari adanya pertanggungjawaban di akhirat;Ingin dipuji orang;Takut kepada atasan;B
6;SMP;Perbedaan antara Takdir Mubram dan Muallaq secara filosofis terletak pada...;Kehendak manusia dalam ikhtiar;Besarnya dosa;Waktu terjadinya;Kekuasaan Allah;A
7;SMP;Mengapa Al-Asmaul Husna sangat dianjurkan untuk dihafalkan dan dipahami maknanya?;Sebagai sarana mengenal Allah dan beribadah;Agar mudah menjawab ujian;Agar dikenal sebagai orang saleh;Syarat menjadi khatib;A
8;SMP;Dalam Al-Qayyum, Allah berdiri sendiri. Apa implikasinya bagi manusia?;Manusia harus rendah hati dan bergantung pada Allah;Manusia boleh sombong;Manusia harus mandiri total;Manusia tidak butuh orang lain;A
9;SMP;Apa dampak negatif perilaku Riya terhadap pahala seseorang?;Pahala berkurang setengah;Pahala hangus karena syirik kecil;Pahala tetap ada;Tidak ada pengaruhnya;B
10;SMP;Bagaimana cara menghindari Hasad (dengki) sesuai ajaran Islam?;Qanaah dan syukur atas nikmat Allah;Menjauhi pergaulan;Mencari harta sebanyak-banyaknya;Sering memuji diri sendiri;A
11;SMP;Hukum Sujud Tilawah dilakukan ketika...;Mendengar atau membaca ayat sajdah;Lupa rakaat salat;Mendapat nikmat;Mendapat musibah;A
12;SMP;Syarat sahnya Sujud Syukur adalah...;Harus wudhu;Menghadap kiblat;Dilakukan di luar salat;Harus di dalam masjid;C
13;SMP;Apa perbedaan utama antara Zakat Mal dan Zakat Fitrah?;Objek harta dan waktu pelaksanaan;Syarat sahnya;Jumlah orang yang menerima;Harus dikeluarkan emas;A
