No;Tingkat;Soal;Pilihan A;Pilihan B;Pilihan C;Pilihan D;Jawaban
1;SMP;Rumusan Pancasila sebagai dasar negara yang sah dan otentik tercantum dalam...;Piagam Jakarta;Pembukaan UUD 1945 alinea ke-4;Batang Tubuh UUD 1945;Dokumen resmi BPUPKI;B
2;SMP;Sidang pertama BPUPKI yang dilaksanakan pada tanggal 29 Mei sampai 1 Juni 1945 bertujuan untuk membahas...;Bentuk negara Indonesia;Dasar negara Indonesia;Teks proklamasi kemerdekaan;Rancangan undang-undang dasar;B
3;SMP;Tokoh yang mengusulkan lima asas dasar negara yang terdiri dari Peri Kebangsaan, Peri Kemanusiaan, Peri Ketuhanan, Peri Kerakyatan, dan Kesejahteraan Rakyat adalah...;Ir. Soekarno;Drs. Mohammad Hatta;Mr. Muhammad Yamin;Mr. Soepomo;C
4;SMP;Istilah Pancasila pertama kali dikemukakan secara resmi oleh Ir. Soekarno pada tanggal...;29 May 1945;1 June 1945;22 June 1945;18 August 1945;B
5;SMP;Ketua Badan Penyelidik Usaha-usaha Persiapan Kemerdekaan Indonesia (BPUPKI) adalah...;Ir. Soekarno;Drs. Mohammad Hatta;Dr. K.R.T. Radjiman Wedyodiningrat;Raden Pandji Soeroso;C
6;SMP;Panitia Kecil yang beranggotakan sembilan orang dan berhasil menyusun Piagam Jakarta dinamakan...;Panitia Sembilan;Panitia Delapan;PPKI;BKR;A
7;SMP;Perubahan sila pertama Piagam Jakarta menjadi 'Ketuhanan Yang Maha Esa' disepakati demi menjaga...;Hubungan diplomatik dengan Jepang;Keinginan para pemimpin partai;Persatuan dan kesatuan bangsa Indonesia;Kepentingan golongan tertentu;C
8;SMP;Norma yang bersumber dari hati nurani manusia yang menuntun manusia pada kebaikan dan melarang keburukan disebut norma...;Agama;Kesusilaan;Kesopanan;Hukum;B
9;SMP;Sanksi bagi seseorang yang melanggar norma hukum di Indonesia bersifat...;Dosa dan siksa di akhirat;Rasa penyesalan dan dikucilkan;Tegas, nyata, dan memaksa dari negara;Cemoohan dari masyarakat sekitar;C
10;SMP;Norma kesopanan bersumber dari pergaulan hidup manusia yang didasarkan pada...;Kitab suci masing-masing agama;Peraturan resmi pemerintah setempat;Kebiasaan dan tata krama dalam masyarakat;Hati nurani setiap individu;C
11;SMP;UUD Negara Republik Indonesia Tahun 1945 ditetapkan sebagai konstitusi negara oleh PPKI pada tanggal...;17 August 1945;18 August 1945;19 August 1945;20 August 1945;B
12;SMP;Konstitusi tertulis tertinggi yang berlaku di negara Indonesia saat ini adalah...;Ketetapan MPR;Undang-Undang Dasar 1945;Undang-Undang;Peraturan Pemerintah;B
13;SMP;Sikap menghargai perbedaan suku, agama, ras, dan antargolongan merupakan cerminan dari semboyan...;Tut Wuri Handayani;Bhinneka Tunggal Ika;Garuda Pancasila;Bersatu Kita Teguh;B
14;SMP;Keragaman suku bangsa dan budaya di Indonesia dipengaruhi oleh faktor berikut, kecuali...;Letak strategis wilayah Indonesia;Kondisi negara kepulauan;Perbedaan kondisi alam;Kesamaan sistem mata pencaharian;D
15;SMP;Kerja sama dalam kehidupan masyarakat Indonesia sering dikenal dengan istilah...;Gotong royong;Individualisme;Musyawarah;Silahturahmi;A
16;SMP;Bentuk kerja sama dalam bidang pertahanan dan keamanan negara ditegaskan dalam UUD 1945 pasal...;27 alinea 1;27 alinea 3;29 alinea 2;31 alinea 1;B
